ex_number;scenario;algorithm;workload;vm;pm;filenumber;energy;resource;unavalaibility;wenergy;wresource;wunalvail;
1;VM;NSGA2;TPDSmodel;2,0;150;100;871,698263834;783,228967645;0,217554061294;8,43987935064e-15;0,0150321877265;0,254707276846
2;BLOCK;NSGA2;TPDSmodel;2,0;150;100;927,717766864;2469,93425034;0,390777519662;0,0691854266132;0,0618202834271;0,144817473528
3;BLOCK;AIA;TPDSmodel;2,0;150;100;930,641520859;2496,18315446;0,420816262406;0,0850729861571;0,0323474751394;0,0555644899223
0;BOTH;NSGA2;TPDSmodel;2,0;150;200;868,599745942;519,421542607;0,125687555746;0,0192393041566;0,0233963381111;0,0800487203071
1;VM;NSGA2;TPDSmodel;2,0;150;200;880,491275361;1310,53200352;0,170697925004;0,00549351310775;0,148905239021;0,0633445074941
2;BLOCK;NSGA2;TPDSmodel;2,0;150;200;928,908997493;2448,15601126;0,387439220694;0,0697852870329;0,0755414021231;0,132569886855
3;BLOCK;AIA;TPDSmodel;2,0;150;200;930,552855633;2453,46877943;0,42215577409;0,00970144973363;0,0;0,0735060031572
0;BOTH;NSGA2;TPDSmodel;2,0;200;25;575,391927069;659,369234884;0,0451986416288;1,31572798419e-13;0,049821155696;0,00115312040141
1;VM;NSGA2;TPDSmodel;2,0;200;25;595,448285491;2507,09796413;0,13913946592;6,37862654833e-15;0,0305948312454;0,206154064994
2;BLOCK;NSGA2;TPDSmodel;2,0;200;25;618,051198526;6456,88781406;0,208674332299;0,157102387123;0,0152212441028;0,0801530631515
3;BLOCK;AIA;TPDSmodel;2,0;200;25;623,290325037;7000,28313504;0,230653379001;0,0865452596699;0,0698324681895;0,00478382207966
0;BOTH;NSGA2;TPDSmodel;2,0;200;50;870,63457368;578,857053058;0,0655721591482;0,0727257076409;0,0534244850924;0,00778885313906
1;VM;NSGA2;TPDSmodel;2,0;200;50;887,027857876;1940,51675853;0,171420372155;0,00784631870972;0,0970959129207;0,169098934232
2;BLOCK;NSGA2;TPDSmodel;2,0;200;50;926,857892492;4339,83373652;0,289812317517;0,0;0,0214788422838;0,310261286109
3;BLOCK;AIA;TPDSmodel;2,0;200;50;929,557853149;4431,42863251;0,317408810357;0,0;0,0;0,0798621752771
0;BOTH;NSGA2;TPDSmodel;2,0;200;100;867,088885547;497,321540143;0,0727731588469;0,0625160590949;0,00287782265625;0,0461462575797
1;VM;NSGA2;TPDSmodel;2,0;200;100;886,800604845;2090,71021127;0,147850041616;0,0634767904995;0,105737669556;0,0582690931964
2;BLOCK;NSGA2;TPDSmodel;2,0;200;100;927,318521151;4375,77392468;0,288844589265;0,0847749655904;0,199029962335;0,0555667042577
3;BLOCK;AIA;TPDSmodel;2,0;200;100;929,947081492;4463,29319662;0,31456558032;0,0140517757825;0,0724497616221;0,0702029443528
0;BOTH;NSGA2;TPDSmodel;2,0;200;200;879,746648367;1465,04855417;0,0961874803487;0,031296878765;0,00540479233642;0,058259341036
1;VM;NSGA2;TPDSmodel;2,0;200;200;885,196179611;1493,89543139;0,179312231242;1,07406247259e-14;0,0332063162158;0,259226155828
2;BLOCK;NSGA2;TPDSmodel;2,0;200;200;928,474792031;4327,22916782;0,2890690634;0,0552045463291;0,0502473630852;0,17146096286
3;BLOCK;AIA;TPDSmodel;2,0;200;200;930,324990467;4377,10605865;0,317426295677;0,0;0,0730109063075;0,12441895706
